"tit_projeto" "descricao" "autor_situacao"
"15" "PROC. 00223/19 - PLCL 012/19" "Altera o art. 154 e o caput do art. 154-A e revoga os incs. I e II do art. 154-A da Lei Complementar nº 133, de 31 de dezembro de 1985 – que estabelece o Estatuto dos Funcionários Públicos do Município de Porto Alegre –, e alterações posteriores, estabelecendo nova idade máxima da criança para a concessão de licença para fins de adoção." "Autor
Ver. Fernanda Jardim
Situação
PARA PARECER"
"16" "PROC. 00203/19 - PLCL 018/19" "Institui a Declaração Municipal de Direitos de Liberdade Econômica, estabelece normas para os atos de liberação de atividade econômica e a análise de impacto regulatório, altera o § 4º do art. 9º e o art. 11, ambos da Lei nº 8.267, 29 de dezembro 1998, o caput do art. 4º e o § 3º do art. 6º, ambos da Lei nº 11.212, de 31 de janeiro de 2012, e o..." "Autor
RICARDO GOMES, MENDES RIBEIRO E FELIPE CAMOZZATO
Situação
COM REDACAO FINAL"
"17" "PROC. 00177/19 - PLCL 011/19" "Inclui art. 60-A na Lei Complementar nº 694, de 21 de maio de 2012 – que consolida a legislação sobre criação, comércio, exibição, circulação e políticas de proteção de animais no município de porto alegre e revoga legislação sobre o tema –, e alterações posteriores, estabelecendo a possibilidade de instalação de casinhas para cães comunitários..." "Autor
Ver. Cássio Trogildo
Situação
PARA PARECER"
"18" "PROC. 00163/19 - PLCL 010/19" "Proíbe a comercialização e a utilização de embalagens e recipientes de poliestireno expandido (EPS) e de poliestireno extrudado (XPS) destinados ao acondicionamento de alimentos e bebidas." "Autor
Ver. Mauro Zacher
Situação
EM TRAMITACAO"
"19" "PROC. 00155/19 - PLCL 009/19" "Altera a denominação do Capítulo I do Título VI e inclui arts. 17-A, 17-B, 17-C e 17-D na Lei Complementar nº 284, de 27 de outubro de 1992 – que institui o Código de Edificações de Porto Alegre –, e alterações posteriores, acrescentando normas para a ancoragem de equipamentos utilizados durante trabalhos em altura." "Autor
Ver. Adeli Sell
Situação
PARA PARECER"
"20" "PROC. 00147/19 - PLCL 008/19" "Altera o caput e o §2º e revoga o inc. III do § 1º, todos do art. 20-A da Lei Complementar nº 12, de 7 de janeiro de 1975, e alterações posteriores, modificando os critérios de permissão para cercamento de largos, praças e parques do Município de Porto Alegre." "Autor
Ver. Felipe Camozzato, Ver. Mendes Ribeiro e Ver. Ricardo Gomes
Situação
PARA PARECER"
"21" "PROC. 00133/19 - PLCL 007/19" "Altera a al. b do inc. IV do art. 3º da Lei Complementar nº 728, de 8 de janeiro de 2014, que institui o Código Municipal de Limpeza Urbana, revoga as Leis Complementares nos 234, de 10 de outubro de 1990, 274, de 25 de março de 1992, 376, de 3 de junho de 1996, 377, de 3 de junho de 1996, 591, de 23 de abril de 2008, e 602, de 24 de novembro de..." "Autor
Ver. André Carús
Situação
ORDEM DO DIA"
"22" "PROC. 00098/19 - PLCL 006/19" "Cria o Fundo Municipal dos Direitos do Povo Negro." "Autor
Ver. Marcelo Sgarbossa
Situação
PARA PARECER"
"23" "PROC. 00082/19 - PLCL 005/19" "Inclui inc. V no art. 76 da Lei Complementar nº 434, de 1º de dezembro de 1999 – Plano Diretor de Desenvolvimento Urbano Ambiental de Porto Alegre –, e alterações posteriores, acrescentando no rol das Áreas Especiais de Interesse Social as áreas ocupadas por comunidades remanescentes de quilombos em processo de reconhecimento e regularização com..." "Autor
Ver. Marcelo Sgarbossa
Situação
PARA PARECER"
"24" "PROC. 00024/19 - PLCL 002/19" "Altera o parágrafo único do art. 31 da Lei Complementar nº 626, de 15 de julho de 2009 – que institui o Plano Diretor Cicloviário Integrado e dá outras providências –, e alterações posteriores, excetuando os ciclistas em treinamento ou em velocidade igual ou superior a 20km/h (vinte quilômetros por hora) da proibição de trafegar fora de..." "Autor
Ver. Marcelo Sgarbossa
Situação
PARA PARECER"
"25" "PROC. 00017/19 - PLCL 001/19" "PROJETO DE LEI COMPLEMENTAR ALTERA O INCISO II DO ARTIGO 5º, DA NOVA REDACAO AO INCISO VIII DO ARTIGO 6º, INCLUI OS INCISOS XVII, XVIII E XIX NO ARTIGO 7º, INCLUI INCISO VIII NO ARTIGO 18, INCLUI INCISO VII NO ARTIGO 30, INCLUI §8º NO ARTIGO 30, INCLUI INCISO IV NO ARTIGO 72 DA LEI COMPLEMENTAR Nº 434, DE 1º DE DEZEMBRO DE 1999 - PLANO DIRETOR..." "Autor
MOISES BARBOZA
Situação
ARQUIVADO"
"26" "PROC. 01395/18 - PLCL 025/18" "Altera o § 2º do art. 2º e o caput do art. 9º e inclui parágrafo único no art. 9º da Lei Complementar nº 320, de 2 de maio de 1994 – que dispõe sobre a denominação de logradouros públicos e dá outras providências –, e alterações posteriores, restringindo a iniciativa para a proposição de projetos de denominação de logradouros e dando outras..." "Autor
Ver. Marcelo Sgarbossa
Situação
PARA PARECER"
"27" "PROC. 01391/18 - PLCL 026/18" "Suprime os traçados viários projetados para prolongamento da Rua Eng. Otávio Furtado e da Rua Eng. Otacílio Oliveira, nos trechos compreendidos entre a Rua Ladislau Neto e a Avenida Cel. Pedro Augusto Bittencourt." "Autor
Ver. João Bosco Vaz
Situação
ARQUIVADO"
"28" "PROC. 01379/18 - PLCL 024/18" "Altera o inc. II do caput do art. 5º, o inc. VIII do caput do art. 6º e inclui incs. XVII, XVIII e XIX no caput do art. 7º, inc. VIII no caput do art. 18, inc. VII e §8º no caput do art. 30, e inc. IV no caput do art. 72, todos da Lei Complementar nº 434, de 30 de dezembro de 1999 – que dispõe sobre o desenvolvimento urbano no Município de Porto..." "Autor
Ver. Moisés Barboza
Situação
ORDEM DO DIA"
"29" "PROC. 01377/18 - PLCL 023/18" "Inclui parágrafo único no art. 7º e §§ 4º, 5º e 6º no art. 8º da Lei Complementar nº 618, de 10 de junho de 2009 – que institui a adoção de equipamentos públicos e de verdes complementares por pessoas jurídicas e revoga a Lei Complementar nº 136, de 22 de julho de 1986 –, alterada pela Lei Complementar nº 675, de 22 de junho de 2011, dispondo..." "Autor
Verª Mônica Leal
Situação
PARA CIENCIA"
"30" "PROC. 01328/18 - PLCL 022/18" "Cria o Programa POA Solar e institui regras de incentivo fiscal para adoção de energia solar no âmbito do Município de Porto Alegre." "Autor
Ver. André Carús
Situação
PARA ASSINATURA(S)"
"31" "PROC. 01274/18 - PLCL 021/18" "Inclui al. f no inc. VI do caput do art. 24 da Lei Complementar nº 694, de 21 de maio de 2012 – que consolida a legislação sobre criação, comércio, exibição, circulação e políticas de proteção de animais no Município de Porto Alegre e revoga legislação sobre o tema –, fazendo constar, em cada compartimento de exposição de animais, placa..." "Autor
Ver. Leonel Radde
Situação
PARA PARECER"
"32" "PROC. 01267/18 - PLCL 020/18" "Inclui a alínea ab no §3º do art. 20 da Lei Complementar nº 7, de 7 de dezembro de 1973 – que institui e disciplina os tributos de competência do Município –, incluindo os atuários no rol das profissões que especifica." "Autor
Ver. João Bosco Vaz
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO"
"33" "PROC. 01254/18 - PLCL 019/18" "Altera o § 1º do art. 31 e inclui al. d no inc. III do caput do art. 37 na Lei Complementar nº 170, de 31 de dezembro de 1987, e alterações posteriores, alterando o rol de estabelecimentos incluídos na categoria de consumo residencial de água e incluindo associações recreativas, escolas de samba e entidades carnavalescas no rol das instituições..." "Autor
Ver. João Bosco Vaz
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO
Veto
VETO TOTAL REJEITADO"
"34" "PROC. 01092/18 - PLCL 018/18" "Inclui incs. III e IV no caput do art. 39 da Lei Complementar nº 628, de 17 de agosto de 2009, e alterações posteriores, ampliando o número de integrantes da Junta Administrativa do Fundo Municipal dos Direitos da Criança e do Adolescente." "Autor
Verª Sofia Cavedon
Situação
ORDEM DO DIA"
"35" "PROC. 01070/18 - PLCL 017/18" "IInclui al. j no inc. XVI do caput do art. 76, inc. XI no caput do art. 141 e art. 153-A na Lei Complementar nº 133, de 31 de dezembro de 1985 - que estabelece o Estatuto dos Funcionários Públicos do Município de Porto Alegre, e alterações posteriores –, e alterações posteriores, permitindo que a avó materna ou o avô materno ausente-se do..." "Autor
Ver. Prof. Alex Fraga e outros
Situação
PARA PARECER"
"36" "PROC. 01043/18 - PLCL 016/18" "Inclui al. j no inc. XVI do caput do art. 76, inc. XI no caput do art. 141 e art. 153-A na Lei Complementar nº 133, de 31 de dezembro de 1985 – que estabelece o Estatuto dos Funcionários Públicos do Município de Porto Alegre, e alterações posteriores – dispondo sobre afastamento e licença para doação de leite materno." "Autor
Ver. Prof. Alex Fraga, Verª Fernanda Melchionna e Verª. Karen Santos
Situação
PARA PARECER"
"37" "PROC. 00885/18 - PLCL 015/18" "Inclui parágrafo único no art. 29 e altera o caput e os §§ 1º e 2º do art. 30, todos na Lei Complementar nº 197, de 21 de março de 1989 – que institui e disciplina o imposto sobre a transmissão “inter-vivos”, por ato oneroso, de bens imóveis e de direitos reais a eles relativos –, e alterações posteriores, estipulando casos em que a Fiscalização..." "Autor
Ver. Felipe Camozzato
Situação
ORDEM DO DIA"
"38" "PROC. 00867/18 - PLCL 014/18" "Altera o caput e os incs. I e II do caput do art. 3º, o art. 4º e o art. 5º da Lei Complementar nº 444, de 30 de março de 2000 – que institui, no Município de Porto Alegre, o Conselho Municipal do Idoso (Comui) e dá outras providências –, alterada pela Lei Complementar nº 660, de 7 de dezembro de 2010, dispondo sobre composição e Regimento do..." "Autor
Ver. Alvoni Medina
Situação
COM PARECER"
"39" "PROC. 00798/18 - PLCL 013/18" "Altera o caput e o § 1º do art. 29, inclui os arts. 29-A e 35-A e revoga o § 3º do art. 29 e os arts. 31, caput, seus incs. I a IV e seu parágrafo único, 33, 34 e § 2º do art. 35, todos da Lei Complementar nº 12, de 7 de janeiro de 1975 – que institui posturas para o Município de Porto Alegre e dá outras providências –, e alterações posteriores,..." "Autor
Ver. Felipe Camozzato
Situação
PARA PARECER"
"40" "PROC. 00796/18 - PLCL 012/18" "Revoga o art. 2º da Lei Complementar nº 462, de 18 de janeiro de 2001 – que proíbe, no Município de Porto Alegre, a construção de estabelecimentos de comércio de alimentos ou congêneres com área computada superior a 2.500m² (dois mil e quinhentos metros quadrados) e dá outras providências –, e alterações posteriores." "Autor
Ver. Mauro Pinheiro
Situação
PARA PARECER"
"41" "PROC. 00743/18 - PLCL 011/18" "Altera o inc. II do § 4º e inclui § 17, ambos no art. 20 da Lei Complementar nº 7, de 7 de dezembro de 1973 – que institui e disciplina os tributos de competência do Município –, e alterações posteriores, dispondo sobre a base de cálculo do Imposto sobre Serviços de Qualquer Natureza (ISSQN)." "Autor
Ver. Dr. Thiago e Ver. Ricardo Gomes
Situação
ARQUIVADO"
"42" "PROC. 00700/18 - PLCL 009/18" "Altera o § 2º do art. 35 da Lei Complementar nº 170, de 31 de dezembro de 1987 – que revoga a Lei Complementar nº 32, de 7 de janeiro de 1977, estabelece normas para instalações hidros sanitárias e serviços públicos de abastecimento de água e esgotamento sanitário prestados pelo DMAE e dá outras providências – dispondo sobre a cobrança de tarifa..." "Autor
Ver. Clàudio Janta
Situação
COM PARECER"
"43" "PROC. 00534/18 - PLCL 007/18" "Inclui § 4º no art. 2º da Lei Complementar nº 320, de 2 de maio de 1994, e alterações posteriores, vedando a denominação de logradouros públicos e equipamentos públicos com nome de pessoa que tenha contra si ação julgada procedente em decisão transitada em julgado por crime de corrupção de qualquer espécie." "Autor
Ver. José Freitas
Situação
AGUARDANDO SANCAO"
"44" "PROC. 00486/18 - PLCL 006/18" "Revoga a Lei Complementar nº 462, de 18 de janeiro de 2001 – que proíbe, no Município de Porto Alegre, a construção de estabelecimentos de comércio de alimentos ou congêneres com área computada superior a 2.500m² (dois mil e quinhentos metros quadrados) e dá outras providências." "Autor
Ver. Valter Nagelstein
Situação
PARA PARECER"
"45" "PROC. 00436/18 - PLCL 005/18" "Inclui inc. X no parágrafo único do art. 8º da Lei Complementar nº 694, de 21 de maio de 2012 – que consolida a legislação sobre criação, comércio, exibição, circulação e políticas de proteção de animais no Município de Porto Alegre e revoga legislação sobre o tema –, e alterações posteriores, incluindo a utilização de coleira de choque no rol..." "Autor
Verª. Lourdes Sprenger
Situação
ORDEM DO DIA"
"46" "PROC. 00419/18 - PLCL 004/18" "Altera o art. 18 da Lei Complementar nº 12, de 7 de janeiro de 1975 – que institui posturas para o Município de Porto Alegre e dá outras providências –, e alterações posteriores, incluindo § 4º para excetuar do disposto em seu inc. IX as concentrações, as caminhadas, as manifestações e as festividades de caráter político, cultural, cívico,..." "Autor
Ver. Aldacir Oliboni
Situação
PARA PARECER"
"47" "PROC. 00394/18 - PLCL 003/18" "INSTITUI O CONSELHO MUNICIPAL DE PROMOCAO DOS DIREITOS DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS E TRANSEXUAIS DA CIDADE DE PORTO ALEGRE." "Autor
LUISA STERN
Situação
ARQUIVADO"
"48" "PROC. 00233/18 - PLCL 002/18" "Altera os §§ 5º e 12 do art. 4º, o caput e o § 1º do art. 9º e o § 1º do art. 15, inclui §§ 8º e 9º no art. 9º, §§ 9º e 10 no art. 11 e §§ 4º e 5º no art. 15, e revoga o § 9º, o § 10, o § 11 e seus incs. I e II, o § 13 e seus incs. I a IV e o § 14, todos do art. 4º, os §§ 1º, 2º e 3º, o § 4º e seus incs. I a IV, e os §§ 5º e 6º, todos do art...." "Autor
Ver. Moisés Barboza
Situação
AGUARDANDO SANCAO"
"49" "PROC. 00043/18 - PLCL 001/18" "Inclui art. 22-A na Lei Complementar nº 275, de 6 de abril de 1992 – que dispõe sobre a proteção do Patrimônio Histórico, Cultural e Natural do Município de Porto Alegre, disciplina a integração de bens móveis e imóveis e cria incentivos ao tombamento e dá outras providências –, condicionando à autorização legislativa o estabelecimento de..." "Autor
Ver. Clàudio Janta
Situação
ORDEM DO DIA"
"50" "PROC. 03137/17 - PLCL 051/17" "Institui a Política de Sustentabilidade, Enfrentamento das Mudanças Climáticas e Uso Racional da Energia, cria o Programa de Premiação e Certificação em Sustentabilidade Ambiental de Porto Alegre e dá outras providências." "Autor
Ver. Cassio Trogildo
Situação
PARA APREGOAR"
"51" "PROC. 03078/17 - PLCL 050/17" "Cria o Dia do Bota-Fora e inclui art. 64-A na Lei Complementar nº 728, de 8 de janeiro de 2014, e alterações posteriores, e art. 27-A na Lei nº 10.847, de 9 de março de 2010." "Autor
Ver. Aldacir Oliboni
Situação
PARA PARECER"
"52" "PROC. 02998/17 - PLCL 049/17" "Cria o Fundo Municipal de Promoção do Afroempreendedorismo." "Autor
Ver.ª Reginete Bispo
Situação
COM PARECER"
"53" "PROC. 02923/17 - PLCL 054/17" "Cria o Conselho do Povo de Terreiro do Município de Porto Alegre." "Autor
Ver. Baba Diba de Iyemonja
Situação
ORDEM DO DIA"
"54" "PROC. 02891/17 - PLCL 048/17" "Autoriza bares, restaurantes, confeitarias, lanchonetes e similares a utilizar recuos e passeios públicos para colocação de mesas, cadeiras, amplificadores, caixas acústicas, alto falantes ou outro tipo de aparelho de som, ombrellones, guarda-sóis e outros equipamentos similares móveis e revoga a Lei Complementar nº 415 – que dispõe sobre a..." "Autor
Ver. Ricardo Gomes
Situação
ORDEM DO DIA"
"55" "PROC. 02886/17 - PLCL 047/17" "Inclui art. 222-B na Lei Complementar nº 284, de 27 de outubro de 1992 – que institui o Código de Edificações de Porto Alegre e dá outras providências –, e alterações posteriores, permitindo o uso de jardins verticais em muros, paredes, empenas cegas e similares." "Autor
Ver. Adeli Sell
Situação
ORDEM DO DIA"
"56" "PROC. 02780/17 - PLCL 046/17" "Altera os limites das Subunidades 1 e 3 da Unidade de Estruturação Urbana (UEU) 48 da Macrozona (MZ) 8, cria e institui como Área Especial de Interesse Social (AEIS) III a Subunidade 5 na UEU 48 da MZ 8 e define-lhe regime urbanístico." "Autor
Ver. Reginaldo Pujol
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO
Veto
VETO TOTAL REJEITADO"
"57" "PROC. 02753/17 - PLCL 045/17" "Revoga a Lei Complementar nº 380, de 1º de julho de 1996 – que dispõe sobre construção de salas para cinema e teatro em centros comerciais do Município de Porto Alegre." "Autor
Ver. Felipe Camozzato e Outros
Situação
PARA PARECER"
"58" "PROC. 02752/17 - PLCL 044/17" "Revoga a Lei Complementar nº 294, de 28 de maio de 1993 – que dispõe sobre a obrigatoriedade dos estabelecimentos do comércio varejista de Porto Alegre afixarem, em suas fachadas, o preço dos produtos da cesta básica." "Autor
Ver. Felipe Camozzato e Outros
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO"
"59" "PROC. 02719/17 - PLCL 043/17" "INCLUI O INCISO V NO PARAGRAFO UNICO DO ART. 51 DA LEI COMPLEMENTAR Nº 694, DE 21 DE MAIO DE 2012, QUE DISPOE SOBRE A LIBERACAO DE ENTRADA DE ANIMAIS DE ESTIMACAO EM HOSPITAIS PUBLICOS OU PRIVADOS PARA VISITAS A PACIENTES INTERNADOS." "Autor
ALVONI MEDINA
Situação
ARQUIVADO"
"60" "PROC. 02644/17 - PLCL 042/17" "Altera o inc. XVII do caput do art. 70 da Lei Complementar nº 7, de 7 de dezembro de 1973 – que institui e disciplina os tributos de competência do Município –, e alterações posteriores, incluindo as pessoas com deficiência no rol de isenções do pagamento do Imposto Sobre a Propriedade Predial e Territorial Urbana (IPTU)." "Autor
Ver. Paulo Brum
Situação
PARA PARECER"
"61" "PROC. 02615/17 - PLCL 041/17" "Altera os limites da Subunidade 1 da Unidade de Estruturação Urbana (UEU) 17 da Macrozona (MZ) 7 e das Subunidades 1 e 3 da UEU 48 da MZ 8, cria a Subunidade 2 da UEU 17 da MZ 7 e define seu regime urbanístico, nos Anexos 1.1 e 1.2 da Lei Complementar nº 434, de 1º de dezembro de 1999 – Plano Diretor de Desenvolvimento Urbano e Ambiental (PDDUA)..." "Autor
Ver. Reginaldo Pujol
Situação
ARQUIVADO"
"62" "PROC. 02593/17 - PLCL 040/17" "ALTERA O § 3º DO ART.152 DA LEI COMPLEMENTAR Nº 133, DE 31 DE DEZEMBRO DE 1985 - ESTATUTO DOS FUNCIONARIOS PUBLICOS DO MUNICIPIO DE PORTO ALEGRE -, E ALTERACOES POSTERIORES, AMPLIANDO PARA 20 (VINTE) DIAS A LICENCA-PATERNIDADE DOS FUNCIONARIOS E ESTENDENDO-A A CASOS DE ADOCAO." "Autor
ALDACIR OLIBONI
Situação
ARQUIVADO"
"63" "PROC. 02454/17 - PLCL 039/17" "Revoga a Lei Complementar nº 601, de 23 de outubro de 2008 – que dispõe sobre o Inventário do Patrimônio Cultural de Bens Imóveis do Município." "Autor
Ver. Dr. Thiago e Outros.
Situação
ARQUIVADO"
"64" "PROC. 02352/17 - PLCL 053/17" "Cria o Programa Câmbio Verde no Município de Porto Alegre e inclui art. 7º-A na Lei Complementar nº 113, de 21 de dezembro de 1984 – que institui a Taxa de Coleta de Lixo no Município de Porto Alegre e dá outras providências –, e alterações posteriores." "Autor
Ver. Márcio Bins Ely
Situação
PARA PARECER"
"65" "PROC. 02201/17 - PLCL 052/17" "Inclui § 15 no art. 70 da Lei Complementar nº 7, de 7 de dezembro de 1973 – que institui e disciplina os tributos de competência do Município –, e alterações posteriores, dispondo sobre a incidência do Imposto Sobre a Propriedade Predial e Territorial Urbana (IPTU) sobre os imóveis de propriedade do Poder Público cedidos, a título gratuito ou..." "Autor
Ver. José Freitas
Situação
PARA PARECER"
"66" "PROC. 02172/17 - PLCL 038/17" "Altera o inc. III do caput do art. 4º, o art. 7º e o caput do art. 9º, inclui incs. VIII e IX no caput do art. 4º e §§ 1º e 2º no art. 9º, renomeia o parágrafo único do art. 9º para § 3º e revoga os incs. I a VII do caput do art. 9º, todos da Lei Complementar nº 740, de 16 de maio de 2014 – que institui o Estatuto do Pedestre, cria o Conselho..." "Autor
Ver. Marcelo Sgarbossa
Situação
AGUARDANDO DILIGENCIA"
"67" "PROC. 02148/17 - PLCL 037/17" "Institui o Código Ambiental do Município de Porto Alegre (CAM) e revoga as Leis nos 8.267, de 29 de dezembro de 1998, 8.279, de 20 de janeiro de 1999, 8.896, de 26 de abril de 2002, e as Leis Complementares nos 369, de 29 de janeiro de 1996, 755, de 30 de dezembro de 2014, 757, de 14 de janeiro de 2015, e 760, de 30 de março de 2015." "Autor
Ver. Monica Leal
Situação
PARA PARECER"
"68" "PROC. 02102/17 - PLCL 036/17" "Altera a ementa e o caput do art. 1º e inclui parágrafo único no art. 1º da Lei Complementar nº 502, de 16 de janeiro de 2004, dispondo sobre a realização de eventos nas quadras de associações e entidades carnavalescas no Município de Porto Alegre." "Autor
Verª. Mônica Leal e outros
Situação
ARQUIVADO"
"69" "PROC. 01833/17 - PLCL 033/17" "Renomeia o parágrafo único para § 1º e inclui § 2º no art. 56 da Lei Complementar nº 434, de 30 de dezembro de 1999 – que dispõe sobre o desenvolvimento urbano no Município de Porto Alegre, institui o Plano Diretor de Desenvolvimento Urbano Ambiental de Porto Alegre e dá outras providências –, e alterações posteriores, dispondo sobre a..." "Autor
Ver. Aldacir Oliboni
Situação
ARQUIVADO"
"70" "PROC. 01823/17 - PLCL 032/17" "Revoga a Lei Complementar nº 420, de 25 de agosto de 1998 – que institui o Código de Proteção contra Incêndio de Porto Alegre e dá outras providências." "Autor
Ver. Valter Nagelstein e Outros
Situação
ORDEM DO DIA"
"71" "PROC. 01818/17 - PLCL 031/17" "Inclui art. 153-A na Lei Complementar nº 133, de 31 de dezembro de 1985 – que estabelece o Estatuto dos Funcionários Públicos do Município de Porto Alegre –, e alterações posteriores, garantindo a concessão das licenças-maternidade, paternidade e para fins de adoção e de benefício assistencial a servidores e servidoras homossexuais." "Autor
Ver. Roberto Robaina e outros
Situação
ORDEM DO DIA"
"72" "PROC. 01777/17 - PLCL 029/17" "Inclui § 4º no art. 1º e inc. X no caput do art. 3º da Lei Complementar nº 650, de 27 de agosto de 2010, alterada pela Lei Complementar nº 688, de 15 de fevereiro de 2012, dispondo sobre a regularização de edificações não cadastradas existentes no Município de Porto Alegre." "Autor
Ver. Mauro Pinheiro
Situação
AGUARDANDO SANCAO"
"73" "PROC. 01721/17 - PLCL 027/17" "Cria o Fundo Municipal de Defesa Civil (Fumdec)." "Autor
Ver. Mendes Ribeiro
Situação
ARQUIVADO
Veto
VETO PARCIAL REJEITADO"
"74" "PROC. 01691/17 - PLCL 028/17" "Cria o Fundo Municipal de Recuperação e Revitalização do Arroio Dilúvio." "Autor
