"tit_projeto" "descricao" "autor_situacao"
"8" "PROC. 00580/19 - PLCE 017/19" "ALTERA A EMENTA, O CAPUT DO ART. 1º, O INC. III E OS §§ 4º, 5º E 6º DO ART. 2º, O CAPUT E O INC. II DO ART. 3º, OS INCS. II, IV, V, VI, E VII E O CAPUT DO ART. 4º, O INC. X DO ART. 8º, OS §§ 4º, 5º E 6º DO ART. 10; INCLUI O PARAGRAFO UNICO AO ART. 1º, E O INC. XII AO ART. 8º, E REVOGA O § 4º DO ART. 2º, O ART. 6º E O INC. II DO § 2º DO ART. 10,..." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"9" "PROC. 00579/19 - PLCE 016/19" "ESTABELECE NORMAS GERAIS PARA O PROCESSO ADMINISTRATIVO E NORMAS ESPECIAIS PARA A CONSTITUICAO DE DIVIDA NAO TRIBUTARIA NO AMBITO DA EMPRESA PUBLICA DE TRANSPORTES E CIRCULACAO (EPTC); REVOGA OS ARTS. 57, 58, 59, 60, 61, 64 E 65 DA LEI Nº 11.582, DE 12 DE FEVEREIRO DE2014, E OS ARTS. 19 E 20 DA LEI Nº 12.162, DE 9 DE DEZEMBRO DE 2016." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"10" "PROC. 00562/19 - PLCE 015/19" "DISPOE SOBRE A CRIACAO DE CARGOS PUBLICOS PARA AGENTES COMUNITARIOS DE SAUDE (ACS) E DE COMBATE AS ENDEMIAS (ACE) E SOBRE O PROCESSO SELETIVO PUBLICO NO AMBITO DA ADMINISTRACAO PUBLICA MUNICIPAL." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"11" "PROC. 00521/19 - PLCE 014/19" "INCLUI O § 18 NO ART. 5° DA LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"12" "PROC. 00463/19 - PLCE 013/19" "ALTERA O CAPUT DO ART. 49 DA LEI COMPLEMENTAR Nº 7, DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, INCLUINDO, COMO SUJEITOS PASSIVOS DA TAXA DE APROVACAO DE LICENCA DE PARCELAMENTO DO SOLO, EDIFICACOES E OBRAS, O INTERESSADO E O EXECUTOR DA OBRA." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"13" "PROC. 00443/19 - PLCE 012/19" "PROIBE A ATIVIDADE DE GUARDADOR AUTONOMO DE VEICULOS AUTOMOTORES - FLANELINHAS - EM VIAS E LOGRADOUROS PUBLICOS DO MUNICIPIO DE PORTO ALEGRE E REVOGA O INC. XXX DO CAPUT DO ART. 18 DA LEI COMPLEMENTAR Nº 12, DE 7 DE JANEIRO DE 1975; A LEI Nº 5.738, DE 7 DE JANEIRO DE 1986; E A LEI Nº 6.602, DE 7 DE MAIO DE 1990." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"14" "PROC. 00383/19 - PLCE 011/19" "altera o § 5º e os incs. I, II, III, IV, V, VI e VII do § 8º do art. 32 da Lei Complementar nº 765, de 8 de julho de 2015." "Autor
Governo Municipal
Situação
ORDEM DO DIA"
"15" "PROC. 00359/19 - PLCE 009/19" "CRIA COMITE GERAL DE AVALIACAO DE METAS DE PRODUTIVIDADE (CGAMP) RESPONSAVEL PELA AVALIACAO E AFERICAO DE METAS E INDICADORES DE GRATIFICACOES QUE ELENCA NO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
COM REDACAO FINAL"
"16" "PROC. 00364/19 - PLCE 010/19" "ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 701 DE 18 DE JULHO DE 2012, PARA ALTERAR AVANCOS, INCORPORACAO DE FUNCAO GRATIFICADA E ADICIONAL POR TEMPO DE SERVICO PARA ADAPTAR AS DISPOSICOES TRAZIDAS PELA LEI COMPLEMENTAR Nº 851, 12 DE JUNHO DE 2019; ALTERA O ART. 39-A DA LEI COMPLEMETAR Nº 478, DE 26 DE SETEMBRO DE 2002; ALTERA O § 3º DO ART. 45,..." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"17" "PROC. 00357/19 - PLCE 007/19" "INCLUI O INC. III E O PARAGRAFO UNICO NO ART. 94 DA LEI COMPLEMENTAR Nº 478, DE 26 DE SETEMBRO DE 2002, QUE DISPOE SOBRE O DEPARTAMENTO MUNICIPAL DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE PORTO ALEGRE (PREVIMPA)." "Autor
GOVERNO MUNICIPAL
Situação
POR SOLICITACAO"
"18" "PROC. 00358/19 - PLCE 008/19" "INCLUI A AL. E NO INC. IV E REVOGA A AL. C DO INC. V, AMBAS DO ART. 4º DA LEI COMPLEMENTAR Nº 810, DE 4 DE JANEIRO DE 2017, ALTERADA PELA LEI COMPLEMENTAR MUNICIPAL Nº 817, DE 30 DE AGOSTO DE 2017." "Autor
GOVERNO MUNICIPAL
Situação
POR SOLICITACAO"
"19" "PROC. 00356/19 - PLCE 006/19" "ALTERA A LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DO MUNICIPIO." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"20" "PROC. 00242/19 - PLCE 005/19" "DISPOE SOBRE DIRETRIZES PARA A CRIACAO E A EXTINCAO DE FUNDOS PUBLICOS; ESTABELECE NOVAS REGRAS PARA MOVIMENTACAO FINANCEIRA DOS ATUAIS FUNDOS E CRIA O FUNDO DE REFORMA E DESENVOLVIMENTO MUNICIPAL, BEM COMO AUTORIZA O PODER EXECUTIVO A REVERTER OS SALDOS FINANCEIROS DOS FUNDOS ATIVOS E EXTINTOS AO TESOURO MUNICIPAL." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"21" "PROC. 00230/19 - PLCE 004/19" "INCLUI O ART. 2º-A A LEI Nº 1.651, DE 9 DE OUTUBRO DE 1956 - QUE DISPOE SOBRE DOACAO REALIZADA AO SPORT CLUB INTERNACIONAL, DE PORTO ALEGRE, PARA CONSTRUCAO DE UMA PRACA DE ESPORTES - AUTORIZANDO A REALIZACAO DE EMPREENDIMENTO IMOBILIARIO, E EXCLUI O POLIGONO A QUE SE REFERE DA AREA DE INTERESSE INSTITUCIONAL PREVISTA NO ART. 4º DA LEI..." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"22" "PROC. 00211/19 - PLCE 003/19" "AUTORIZA O MUNICIPIO DE PORTO ALEGRE A ADQUIRIR IMOVEIS DE PROPRIEDADE DA UNIAO E DO INSTITUTO NACIONAL DO SEGURO SOCIAL (INSS), AUTARQUIA FEDERAL, ATRAVES DE DOACOES COM ENCARGOS DESTINADOS A SECRETARIA MUNICIPAL DE SAUDE (SMS)." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"23" "PROC. 00044/19 - PLCE 002/19" "ALTERA O CAPUT DO ART. 122, INCLUI O ART. 37-A, O §§ 3º E 4º AO ART. 122-A, O ART. 129-A E O PARAGRAFO UNICO AO ART. 131, REVOGA OS ARTS 79, 124, 125, 126, 127, 127-A, 129, 130, 133 TODOS DA LEI COMPLEMENTAR Nº 133, DE 31 DE DEZEMBRO DE 1985, QUE ESTABELECE O ESTATUTO DOS FUNCIONARIOS PUBLICOS DO MUNICIPIO DE PORTO ALEGRE; INCLUI O ART. 39-A E..." "Autor
GOVERNO MUNICIPAL
Situação
COM REDACAO FINAL APROVADA"
"24" "PROC. 00027/19 - PLCE 001/19" "ALTERA OS ANEXOS 1.1 E 1.2 DA LEI COMPLEMENTAR Nº 434 DE 1º DE DEZEMBRO DE 1999, REDEFININDO O LIMITE DA AREA DE INTERESSE INSTITUCIONAL DA SUBUNIDADE 01, CRIANDO AS SUBUNIDADES 05 E 06 DA UNIDADE DE ESTRUTURACAO URBANA 092 DA MACROZONA 03, ALTERANDO OS LIMITES DA SUBUNIDADE 02 DA UNIDADE DE ESTRUTURACAO URBANA 092 DA MACROZONA 03, DEFININDO..." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"25" "PROC. 01360/18 - PLCE 019/18" "ALTERA O INC. XXIX DO ART. 70 DA LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, ESTENDENDO A VIGENCIA DA ISENCAO PARA A CENTRAL DE ABASTECIMENTO DO ESTADO DO RIO GRANDE DO SUL (CEASA) ATE 31 DE DEZEMBRO DE 2018." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"26" "PROC. 01352/18 - PLCE 018/18" "ALTERA O § 2º DO ART. 71 DA LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, ESTENDENDO A VIGENCIA DA ISENCAO PARA O SERVICO DE TRANSPORTE COLETIVO POR ONIBUS." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"27" "PROC. 01334/18 - PLCE 017/18" "INCLUI O ART. 47-A E 47-B NA LEI COMPLEMENTAR Nº 757, DE 14 DE JANEIRO DE 2015 - QUE ESTABELECE REGRAS PARA A SUPRESSAO, O TRANSPLANTE OU A PODA DE ESPECIMES VEGETAIS NO MUNICIPIO DE PORTO ALGRE, DETERMINA O PRAZO DE MANIFESTACAO AS SOLICITACOES DE MANEJO DA VEGETACAO NO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"28" "PROC. 01333/18 - PLCE 016/18" "CRIA O PROGRAMA DE APROVEITAMENTO E GESTAO DOS IMOVEIS PROPRIOS MUNICIPAIS DE PORTO ALEGRE, AUTORIZANDO O PODER EXECUTIVO A ALIENAR BENS IMOVEIS PROPRIOS E DE SUAS AUTARQUIAS E FUNDACOES POR MEIO DE LEILAO, PERMUTA POR OUTROS IMOVEIS PUBLICOS OU PARTICULARES, BEM COMO POR PERMUTA POR AREA CONSTRUIDA." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"29" "PROC. 01331/18 - PLCE 015/18" "AUTORIZA O PODER EXECUTIVO MUNICIPAL A CONTRATAR PARCERIA PUBLICO-PRIVADA PARA A PRESTACAO DOS SERVICOS DE ILUMINACAO PUBLICA NO MUNICIPIO DE PORTO ALEGRE, NA FORMA DA LEI FEDERAL Nº 11079, DE 30 DE DEZEMBRO DE 2004, E DA LEI MUNICIPAL Nº 9875, DE 8 DE DEZEMBRO DE 2005, E ALTERA A LEI Nº 9329, DE 22 DE DEZEMBRO DE 2003, QUE INSTITUI, NO..." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"30" "PROC. 01085/18 - PLCE 014/18" "DISPOE SOBRE AS NORMAS DE FINANCAS PUBLICAS NO AMBITO DO MUNICIPIO DE PORTO ALEGRE, VOLTADAS PARA A RESPONSABILIDADE, QUALIDADE E TRANSPARENCIA NA GESTAO FISCAL COM A FINALIDADE DE ALCANCAR O EQUILIBRIO FINANCEIRO DAS CONTAS PUBLICAS." "Autor
GOVERNO MUNICIPAL
Situação
PARA REDACAO FINAL"
"31" "PROC. 00866/18 - PLCE 013/18" "DISPOE SOBRE NORMAS URBANISTICAS ESPECIFICAS PARA A INSTALACAO DAS ESTACOES TRANSMISSORAS DE RADIOCOMUNICACAO, AUTORIZADAS E HOMOLOGADOS PELA AGENCIA NACIONAL DE TELECOMUNICACOES (ANATEL) E O RESPECTIVO LICENCIAMENTO, NOS TERMOS DA LEGISLACAO FEDERAL VIGENTE, NO MUNICIPIO DE PORTO ALEGRE E REVOGA A LEI Nº 8896 DE 26 DE ABRIL DE 2002." "Autor
Governo Municipal
Situação
AGUARDANDO SANCAO"
"32" "PROC. 00857/18 - PLCE 012/18" "ALTERA OS CAPITA DOS ARTS. 41, 42, 43 E 44 E O PARAGRAFO UNICO DO ART. 41, TODOS DA LEI COMPLEMENTAR Nº 284 DE 27 DE OUTUBRO DE 1992, ATUALIZANDO O CODIGO MUNICIPAL DE EDIFICACOES DE PORTO ALEGRE, NO QUE TANGE O USO DE MATERIAIS, PERMITINDO APROVACAO DE PROJETOS INOVADORES, USO DE CONTAINERS E REVOGA OS INCS. I E II DOS ARTS. 41, 43 E 44 DA LEI..." "Autor
Governo Municipal
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO"
"33" "PROC. 00856/18 - PLCE 011/18" "DISPOE SOBRE A OUTORGA ONEROSA DO DIREITO DE CONSTRUIR NO MUNICIPIO DE PORTO ALEGRE, CRIA O FUNDO MUNICIPAL DE GESTAO DE TERRITORIO, ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 612, DE 19 DE FEVEREIRO DE 2009 E REVOGA AS LEIS COMPLEMENTARES Nº 315 DE 06 DE JANEIRO DE 1994 E Nº 644, DE 2 DE JULHO DE 2010." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"34" "PROC. 00813/18 - PLCE 010/18" "DISPOE SOBRE DIRETRIZES PARA A CRIACAO E A EXTINCAO DE FUNDOS PUBLICOS, E NOVAS REGRAS PARA MOVIMENTACAO FINANCEIRA DOS ATUAIS FUNDOS, CRIACAO DO FUNDO DE REFORMA E DESENVOLVIMENTO MUNICIPAL, AUTORIZA O PODER EXECUTIVO A REVERTER OS SALDOS FINANCEIROS DOS FUNDOS ATIVOS E EXTINTOS AO TESOURO MUNICIPAL, E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"35" "PROC. 00733/18 - PLCE 009/18" "ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 478, DE 26 DE SETEMBRO DE 2002, QUE DISPOE SOBRE O DEPARTAMENTO MUNICIPAL DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE PORTO ALEGRE (PREVIMPA), DISCIPLINA O REGIME PROPRIO DE PREVIDENCIA DOS SERVIDORES DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"36" "PROC. 00727/18 - PLCE 008/18" "INCLUI O ART. 37-A, O §§ 3º AO 6º AO ART. 122, O ART. 122-A, O ART. 129-A E O PARAGRAFO UNICO AO ART. 131, ALTERA O CAPUT DO ART. 122, REVOGA OS ARTS. 79, 124, 125, 126, 127, 127-A, 129 E 130 TODOS DA LEI COMPLEMENTAR Nº 133, DE 31 DE DEZEMBRO DE 1985, QUE ESTABELECE O ESTATUTO DOS FUNCIONARIOS PUBLICOS DO MUNICIPIO DE PORTO ALEGRE; INCLUI O..." "Autor
GOVERNO MUNICIPAL
Situação
P - PARA CONSULTA"
"37" "PROC. 00725/18 - PLCE 007/18" "INSTITUI O REGIME DE PREVIDENCIA COMPLEMENTAR NO AMBITO DO MUNICIPIO DE PORTO ALEGRE, FIXA LIMITE MAXIMO PARA A CONCESSAO DE APOSENTADORIAS E PENSOES, DE QUE TRATA O ARTIGO 40 DA CONSTITUICAO FEDERAL, AUTORIZA A CRIACAO DE ENTIDADE FECHADA DE PREVIDENCIA COMPLEMENTAR." "Autor
Governo Municipal
Situação
ARQUIVADO"
"38" "PROC. 00724/18 - PLCE 006/18" "ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 478, DE 26 DE SETEMBRO DE 2002, QUE DISPOE SOBRE O DEPARTAMENTO MUNICIPAL DE PREVIDENCIAS DOS SERVIDORES PUBLICOS DO MUNICIPIO DE PORTO ALEGRE (PREVIMPA), DISCIPLINA O REGIME PROPRIO DE PREVIDENCIA DOS SERVIDORES DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"39" "PROC. 00721/18 - PLCE 005/18" "APROVA A PLANTA GENERICA DE VALORES IMOBILIARIOS (PGV) PARA EFEITOS DE LANCAMENTO E COBRANCA DO IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) RELATIVO AO ANO DE 2019, ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR N 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, FIXANDO NOVO SISTEMA DE ALIQUOTAS DO IPTU, E..." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA
Veto
VETO PARCIAL EM APRECIACAO"
"40" "PROC. 00720/18 - PLCE 004/18" "ALTERA A AL. K DO § 1º DO ART. 20, O INC. XXVII DO ART. 21 E O SUBITEM 13.05 DA LISTA DE SERVICOS; INCLUI O ART. 21-A, O PARAGRAFO UNICO NO ART. 25, A ALINEA D AO § 1º DO ART. 59 E REVOGA O INC. VI DO ART. 18-B E AS ALS. B, C E D DO § 1º DO ART. 20; TODOS DA LEI COMPLEMENTAR Nº 07, DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO..." "Autor
GOVERNO MUNICIPAL
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO
Veto
VETO PARCIAL REJEITADO"
"41" "PROC. 00719/18 - PLCE 003/18" "ALTERA O CAPUT E INCLUI O § 3º NO ART. 101 DA LEI COMPLEMENTAR Nº 478, DE 26 DE SETEMBRO DE 2002, QUE DISPOE SOBRE O DEPARTAMENTO MUNICIPAL DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE PORTO ALEGRE, DISCIPLINA O REGIME PROPRIO DE PREVIDENCIA DOS SERVIDORES DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"42" "PROC. 00591/18 - PLCE 002/18" "ALTERA OS INCS. IX E XII E INCLUI O INC. XXIII, TODOS NO ART. 1º DA LEI COMPLEMENTAR Nº 306, DE 23 DE DEZEMBRO DE 1993, QUE INSTITUI HIPOTESE DE RESPONSABILIDADE PELO PAGAMENTO DE IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - ISSQN; E ALTERA O INC. II E INCLUI O INC. IV, AMBOS NO ART. 5º DA LEI COMPLEMENTAR Nº 687, DE 1º DE FEVEREIRO DE 2012,..." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"43" "PROC. 00512/18 - PLCE 001/18" "DISPOE SOBRE A PUBLICIDADE NO SISTEMA DE TRANSPORTE COLETIVO E SOBRE A MODICIDADE TARIFARIA E AS RECEITAS EXTRATARIFARIAS QUE COMPOEM A CMARA DE COMPOSICAO TARIFARIA (CCT) DO TRANSPORTE COLETIVO POR ONIBUS DO MUNICIPIO DE PORTO ALEGRE, E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"44" "PROC. 03109/17 - PLCE 017/17" "APROVA A PLANTA GENERICA DE VALORES IMOBILIARIOS (PGV) PARA EFEITOS DE LANCAMENTO E COBRANCA DO IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) RELATIVO AO ANO DE 2019, ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR N 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, FIXANDO NOVO SISTEMA DE ALIQUOTAS DO IPTU,..." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"45" "PROC. 02982/17 - PLCE 016/17" "altera a al. k do § 1º e os §§ 2º e 16 do art. 20; o inc. XXVII do art. 21, o inc. XVI do art. 71 e o subitem 13.05 da Lista de Serviços; inclui o § 10 no art. 3º-A, o art. 21-A, o parágrafo único no art. 25, a alínea d ao § 1º do art. 59 e revoga o inc. VI do art. 18-B, as als. b, c e d do § 1º do art. 20 e os inc. I a XV do art. 71; todos da..." "Autor
Governo Municipal
Situação
ARQUIVADO"
"46" "PROC. 02981/17 - PLCE 015/17" "altera o inc. XIX do art. 21 da Lei Complementar nº 07, de 7 de dezembro de 1973, que institui e disciplina os tributos de competência do Município, modificando a alíquota do ISS dos serviços realizados pelos centros de contato – contact centers. Concede remissão do Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) e anistia de..." "Autor
Governo Municipal
Situação
ARQUIVADO"
"47" "PROC. 02557/17 - PLCE 014/17" "ALTERA O ART. 100 DA LEI COMPLEMENTAR N 790, DE 10 DE FEVEREIRO DE 2016, ALTERANDO O REQUISITO PARA O PROVIMENTO DO CARGO DE AGENTE DE FISCALIZACAO PARA ENSINO MEDIO COMPLETO." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"48" "PROC. 02262/17 - PLCE 013/17" "aprova a Planta Genérica de Valores Imobiliários (PGV) para efeitos de lançamento e cobrança do Imposto Predial e Territorial Urbano (IPTU) relativo ao ano de 2018, altera dispositivos da Lei Complementar nº 7, de 7 de dezembro de 1973, que institui e disciplina os tributos de competência do Município, fixando novo sistema de alíquotas do IPTU,..." "Autor
Governo Municipal
Situação
ARQUIVADO"
"49" "PROC. 02260/17 - PLCE 012/17" "institui o Programa de Recuperação Fiscal (REFISPOA 2017)." "Autor
Governo Municipal
Situação
AGUARDANDO SANCAO"
"50" "PROC. 02066/17 - PLCE 011/17" "INCLUI O ART. 37-A, O 3 AO 6 AO ART. 122, O ART. 122-A, O ART. 129-A E O PARAGRAFO UNICO AO ART. 131, ALTERA O CAPUT DO ART. 122, REVOGA OS ARTS. 132 E 133, E EM 1 DE NOVEMBRO DE 2017, REVOGA OS ARTS. 79, 124, 125, 126, 127, 127-A, 129 E 130 TODOS DA LEI COMPLEMENTAR N 133, DE 31 DE DEZEMBRO DE 1985, QUE ESTABELECE O ESTATUTO DOS FUNCIONARIOS..." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"51" "PROC. 01953/17 - PLCE 010/17" "altera o caput, os incs. I, II, III, IV, V e VI; as als. a, b e c do inc. IV, e incluídas as als. d no inc. IV; a e b no inc. V, todos do art. 74-A da Lei Complementar nº 434, de 1º de dezembro de 1999." "Autor
Governo Municipal
Situação
ARQUIVADO"
"52" "PROC. 01904/17 - PLCE 009/17" "institui o Fundo Municipal de Segurança Pública (FUMSEG)." "Autor
Governo Municipal
Situação
AGUARDANDO SANCAO"
"53" "PROC. 01811/17 - PLCE 008/17" "dispõe sobre os cargos efetivos das carreiras da Administração Tributária, incluí o art. 38-A na Lei Complementar nº 765, de 8 de julho de 2015, revoga os §§ 10 e 15 do art. 32 da Lei Complementar nº 765, de 8 de julho de 2015, determinando a inaplicabilidade de disposições da Lei nº 6.309, de 28 de dezembro de 1988 e dá outras providências." "Autor
Governo Municipal
Situação
ARQUIVADO"
"54" "PROC. 01740/17 - PLCE 007/17" "dispõe sobre o aporte em imóveis para amortização do déficit atuarial do Departamento de Previdência dos Servidores Públicos do Município de Porto Alegre." "Autor
Governo Municipal
Situação
ARQUIVADO"
"55" "PROC. 01478/17 - PLCE 006/17" "que dispõe sobre a atividade de fiscalização das infrações administrativas no âmbito do Município de Porto Alegre, altera as atribuições da Guarda Municipal constantes no Anexo I da Lei nº 6.309, de 28 de dezembro de 1988, os incs. IV, VI, IX, XII, XX e XXIX do art. 18, os incs. I, II e IV do art. 20, o art. 27, o caput e o inc. I do § 2º do..." "Autor
Governo Municipal
Situação
ARQUIVADO
Veto
VETO PARCIAL MANTIDO"
"56" "PROC. 01433/17 - PLCE 005/17" "dispõe sobre a reorganização da administração pública municipal, extingue secretarias municipais, incorpora as competências das secretarias extintas nas secretarias municipais criadas pela Lei Complementar nº 810, de 4 de janeiro de 2017; transfere e vincula a Controladoria-Geral do Município (CGM) à Secretaria Municipal da Transparência e..." "Autor
Governo Municipal
Situação
ARQUIVADO"
"57" "PROC. 01311/17 - PLCE 004/17" "inclui a al. d no inc. I do art. 2º da Lei Complementar nº 505, de 28 de maio de 2004, que dispõe sobre alíquotas de contribuição previdenciária para fins de custeio do Regime Próprio de Previdência Social dos Servidores Públicos do Município de Porto Alegre." "Autor
Governo Municipal
Situação
ARQUIVADO"
"58" "PROC. 01310/17 - PLCE 003/17" "altera o inciso II do caput do art. 68-A da Lei Complementar nº 7, de 1973, possibilitando o protesto de CDAs em execução fiscal, desde que não suspensa a sua exigibilidade." "Autor
Governo Municipal
Situação
ARQUIVADO"
"59" "PROC. 01309/17 - PLCE 002/17" "altera o inc. I e os §§3º, 5º e 6º do art. 5º, as als. b e c do inc. I, renumera o parágrafo único para §1º e inclui o §2º no art. 9º, todos da Lei Complementar nº 478, de 26 de setembro de 2002, que dispõe sobre o Departamento Municipal de Previdência dos Servidores Públicos do Município de Porto Alegre (PREVIMPA), disciplina o Regime Próprio..." "Autor
Governo Municipal
Situação
ARQUIVADO"
"60" "PROC. 00987/17 - PLCE 001/17" "Altera a al. a do § 2º do art. 18 da Lei Complementar nº 197, de 21 de março de 1989 – que institui e disciplina o Imposto sobre a Transmissão Inter-Vivos (ITBI), por ato oneroso, de bens imóveis e de direitos reais a eles relativos – estendendo o prazo para solicitação do parcelamento do imposto até 31 de dezembro de 2022." "Autor
